accomplish,"vt.完成,达到,实现"
declaration,"n.宣布,宣言,声明"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
confess,"v.承认,坦白,忏悔"
acknowledge,"vt.承认,答谢,报偿"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
behalf,"n.为,利益"
intend,"vt.想要,打算,意指,意谓"
intention,"n.意图,目的"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
acceptance,"n.接受,承诺,容忍,赞同,相信"
numerous,"adj.众多的,许多的,无数的"
massive,"adj.厚重的,大块的,魁伟的,结实的"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
justify,v.证明...是正当的
judicial,"adj.司法的,法院的,公正的,明断的"
provision,"n.供应,(一批)供应品,预备,防备,规定"
preparation,"n.准备,预备"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
particularly,"adv.独特地,显著地"
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
specialise,"v.专门研究,深入"
speciality,"n.特性,特质,专业,特殊性"
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
specify,"vt.指定,详细说明,列入清单"
weary,"adj.疲倦的,厌倦的,令人厌烦的,疲劳v.疲倦,厌倦,厌烦"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
stress,"n.重压,逼迫,压力,重点,着重,强调,重音vt.着重,强调,重读"
excitement,"n.刺激,兴奋,激动,搔动"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
beware,"v.小心,谨防"
economical,"adj.节约的,经济的"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
stagnant,"adj.停滞的,迟钝的"
motion,"n.运动,动作v.运动"
activate,
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
mobile,"adj.可移动的,易变的,机动的n.运动物体"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
frugal,"adj.节俭的,朴素的"
thrift,"n.节俭,节约,[植]海石竹"
preside,v.主持
introduction,"n.介绍,传入,初步,导言,绪论,入门"
dominate,"v.支配,占优势"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
consist,"vi.由...组成,在于,一致"
constitute,"vt.制定(法律),建立(政府),组成,任命"
comprise,"v.包含,由...组成"
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
suburb,"n.市郊,郊区"
urban,"adj.城市的,市内的"
educate,"vt.教育,训练,培养v.教育"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
curriculum,n.课程
extracurricular,"adj.课外的,业余的"
receipt,"n.收条,收据,收到v.收到"
reception,"n.接待,招待会,接收"
celebrity,"n.名声,名人"
renowned,"adj.有名的,有声誉的"
fame,"n.名声,名望,传说,<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传"
costume,"n.装束,服装"
costly,"adj.昂贵的,贵重的"
crew,"n.全体人员,(工作)队 vbl.crow的过去式"
strand,"n.绳、线之一股,线,绳,串,海滨,河岸vi.搁浅vt.使搁浅,使落后,使陷于困境,弄断,搓"
remote,"adj.遥远的,偏僻的,细微的"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
monarch,n.君主
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
slash,"v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打n.猛砍,(大幅度)削减,斜线"
census,n.人口普查
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
scope,"n.(活动)范围,机会,余地"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
occupy,"vt.占,占用,占领,占据"
occupation,"n.职业,占有,占有(房屋等)期间"
decorate,"v.装饰,为...做室内装修"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
significant,"adj.有意义的,重大的,重要的"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
magnificent,"adj.华丽的,高尚的,宏伟的"
purify,vt.使纯净v.净化
afterward,"adv.然后,后来"
afterwards,"adv.然后,后来地"
opportunity,"n.机会,时机"
circumstance,"n.环境,详情,境况"
occasion,"n.场合,时机,机会"
grudge,v.不给予
disgust,"n.厌恶,嫌恶vi.令人厌恶,令人反感vt.使作呕"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
hatred,"n.憎恨,乱意,仇恨"
invaluable,"adj.无价的,价值无法衡量的"
priceless,"adj.无价的,极贵重的"
worthy,"n.杰出人物,知名人士adj.有价值的,应...的,可敬的,值得的,相称的"
worthwhile,"adj.值得做的,值得出力的"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
outlook,"n.景色,风光,观点,见解,展望,前景"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
framework,"n.构架,框架,结构"
scare,"v.惊吓,受惊,威吓n.惊恐,恐慌,恐惧"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
threat,"n.恐吓,凶兆,威胁"
intimidate,v.胁迫
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
spin,"v.旋转,纺,纺纱n.旋转"
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
tunnel,"n.隧道,地道"
thereafter,"adv.其后,从那时以后"
thereof,"adv.在其中,关于...,将它,它的"
thereby,"adv.因此,从而,在那方面,在那附近"
thereabout,"adv.在那附近,大约"
thereabouts,"adv.在那附近,大约"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
intermediate,adj.中间的n.媒介
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
midst,n.中间 prep.在...中间
grant,"vt.同意,准予,承认(某事为真)～"
reward,"n.报酬,奖金vt.酬劳,奖赏"
award,"n.奖,奖品vt.授予,判给"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
compensate,"v.偿还,补偿,付报酬"
fare,"n.费用,旅客,食物vi.遭遇,进展,进步,经营,过活"
obligation,"n.义务,职责,债务"
oblige,"vt.迫使,责成"
promising,"adj.有希望的,有前途的"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
indicative,"adj.(～ of) 指示的,预示的,可表示的"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
reveal,"vt.展现,显示,揭示,暴露"
evident,"adj.明显的,显然的"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
excerpt,"n.vt.摘录,引用"
essay,"vt.企图,尝试n.企图,散文,小品文,随笔,短文,评论"
fiction,"n.虚构,编造,小说"
compile,"vt.编译,编辑,汇编"
compose,"v.组成,写作,排字,(使)安定,调解"
fragment,"n.碎片,断片,片段"
reduction,"n.减少,缩影,变形,缩减量,约简,缩小,降低,缩图,缩版"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
cope,"vi.(善于)应付,(善于)处理"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
realistic,adj.现实(主义)的
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
soluble,"adj.可溶的,可溶解的"
gender,"n.[语法] 性,<口>性别,性,性交"
database,"n.[计] 数据库,资料库"
analyse,"vt.分析,分解n.分析"
analyze,"vt.分析,分解"
analysis,"n.分析,分解"
accent,"n.重音,口音,重音符"
deteriorate,v.(使)恶化
autonomous,adj.自治的
diagnose,v.诊断
syndrome,n.综合病症
surround,"vt.包围,环境v.围绕"
enclose,"vt.放入封套,装入,围绕"
encircle,"vt.环绕,围绕,包围,绕...行一周"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
ventilate,"vt.使通风,给...装通风设备"
sneeze,n.喷嚏vi.打喷嚏
sore,"adj.疼痛的,痛心的,剧烈的n.痛的地方,痛处"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
restless,"adj.得不到休息的,不平静的,不安宁的"
skilled,adj.熟练的
origin,"n.起源,由来,起因,出身,血统,[数]原点"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
derive,vt.得自vi.起源
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
descent,"n.降下,降落,世系,血统,侵袭"
swerve,v.突然转向n.转向
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
skid,n.刹车
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
slender,"adj.苗条的,微薄的,微弱的"
unlike,"adj.不同的,不相似的 prep.不象...,和...不同"
formation,"n.形成,构成,编队"
mood,"n.心情,情绪,语气,状态"
thrill,v.发抖
hesitate,"v.犹豫,踌躇,不愿"
falter,"vt.支吾地说,结巴地讲出vi.支吾,蹒跚踉跄,摇摆,(声音)颤抖n.颤抖,支吾,踌躇"
dilemma,"n.进退两难的局面,困难的选择"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
trigger,"vt.引发,引起,触发n.板机"
startle,v.震惊
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
convey,"vt.搬运,传达,转让"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
subsequent,"adj.后来的,并发的"
succession,"n.连续,继承,继任,演替,[农业] 轮栽,连续性"
successive,"adj.继承的,连续的"
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
preliminary,"adj.预备的,初步的"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
testify,"v.证明,证实,作证"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
insure,vt.给...保险v.确保
insurance,"n.保险,保险单,保险业,保险费"
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
backwards,adv.向后
acquaint,"vt.使熟知,通知"
acquaintance,"n.相识,熟人"
recognize,"vt.认可,承认,公认,赏识vi.具结"
recognise,"v.承认,识别,认可"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
poverty,"n.贫穷,贫困,贫乏,缺少"
disable,"v.使残废,使失去能力,丧失能力"
ability,"n.能力,才干"
capable,"adj.有能力的,能干的,有可能的,可以...的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
criticize,"v.批评,责备"
criticise,"v.批评,吹毛求疵,非难"
arrogant,"adj.傲慢的,自大的"
modest,"adj.谦虚的,谦让的,适度的"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
access,"n.通路,访问,入门vt.存取,接近"
contact,"n.接触,联系vt.接触,联系"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
estimate,"v.估计,估价,评估n.估计,估价,评估"
underestimate,"vt.低估,看轻n.低估"
assess,"vt.估定,评定"
asset,"n.资产,有用的东西"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
avenue,"n.林荫道,大街,方法,途径,路"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
exception,"n.除外,例外,反对,异议"
trumpet,n.喇叭
whistle,"n.口哨,汽笛,口哨声,汽笛声v.吹口哨,鸣汽笛"
congratulate,"vt.祝贺,庆贺,恭喜"
heel,"n.脚后跟,踵,跟部"
toe,"n.趾,脚趾,足尖vt.以趾踏触,用脚尖走vi.动脚尖 [军] Tables of Organization and Equipment,编制及装备表"
tiptoe,"n.脚尖,趾尖vi.用脚尖走"
smack,"n.滋味,风味,少量,拍击v.带有...风味,用掌击,拍打"
detect,"vt.察觉,发觉,侦查,探测v.发现"
detective,n.侦探adj.侦探的
refine,"vt.精炼,精制,使文雅高尚"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
context,"n.上下文,文章的前后关系"
climax,"n.高潮,顶点"
aspect,"n.样子,外表,面貌,(问题等的)方面"
mechanic,"n.技工,机修工,机械士"
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
mechanism,"n.机械装置,机构,机制"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
linger,"v.逗留,闲荡,拖延,游移"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
interior,"adj.内部的,内的n.内部"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
tutor,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师v.辅导"
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
situate,"vt.使位于,使处于"
consult,"v.商量,商议,请教,参考,考虑"
judgment,n.判断
judgement,"n.审判,判决,判断力,意见,看法,评价"
prescribe,"v.指示,规定,处(方),开(药)"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
inquire,"v.询问,问明,查究"
enquire,
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
resolution,"n.坚定,决心,决定,决议;分辨率"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
immense,"adj.极广大的,无边的,<口>非常好的"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
sparkle,"v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁n.火花,闪光,光彩,活力,发泡"
factor,"n.因素,要素,因数,代理人"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
multiply,"v.繁殖,乘,增加"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
predict,"v.预知,预言,预报"
exotic,"adj.异国情调的,外来的,奇异的"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
alienate,v.疏远
error,"n.错误,过失,误差"
inevitable,"adj.不可避免的,必然的"
spectacular,"adj.引人入胜的,壮观的"
gorgeous,"adj.华丽的,灿烂的"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
prosperous,adj.繁荣的
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
spacious,"adj.广大的,大规模的"
condense,"v.(使)浓缩,精简"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
peep,"n.窥看,隐约看见vi.窥视,偷看"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
vigorous,"adj.精力旺盛的,有力的,健壮的"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
boost,v.推进
luxury,"n.奢侈,华贵"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
lodge,"n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
commitment,"n.委托事项,许诺,承担义务"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
