progress,"n.前进,进步,发展vi.前进,进步,进行"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
efficient,"adj.(直接)生效的,有效率的,能干的"
proficient,n.精通
coefficient,n.[数]系数
sufficient,"adj.充分的,足够的"
deficient,"adj.缺乏的,不足的,不完善的"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
budget,"n.预算vi.做预算,编入预算"
plus," prep.加上adj.正的,加的"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
fiction,"n.虚构,编造,小说"
faction,"n.派别,小集团,派系斗争,小派系,内讧"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵"
discount,n.折扣
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的"
county,"n.县,郡"
nation,"n.国家,民族"
race,"n.种族,种族气质,种族特征,赛跑,急流,姜根vi.赛跑,疾走vt.与...赛跑,使空转"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
tribe,"n.部落,部族"
relay,"n.驿马,接替,[电工]继电器vt.(消息,货物等)分程传递,使接替,转播vi.得到接替,转播"
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
ethic,"n.道德规范,伦理"
mortal,"n.凡人,人类adj.必死的,致命的,人类的,临终的adj.<口>极端的,非常大(长)的"
moral,"adj.道德(上)的,精神的n.道德"
mortgage,n.抵押v.抵押
tariff,"n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表vt.课以关税"
custom,"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的"
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
assess,"vt.估定,评定"
session,"n.会议,开庭"
semester,n.学期
obsess,"vt.迷住,使困扰"
possess,"vt.占有,拥有,持有,摆布,支配"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
proper,"adj.适当的,正确的,固有的,特有的,有礼貌的,正当的,严格意义上的,彻底的"
appropriate,adj.适当的
estate,"n.状态,不动产,时期,阶层,财产"
appraise,v.评价
praise,"vt.赞扬,歌颂,称赞n.赞扬,赞美的话,赞美,荣耀,称赞"
hiss,"v.嘶嘶作声,用嘘声表示"
rattle,"v.发出卡嗒卡嗒声,喋喋不休,急忙地做n.吓吱声,喋喋不休的人"
hitherto,"adv.迄今,至今"
hoarse,adj.嘶哑的
shrill,adj.尖声的
hoe,"n.锄头v.用锄耕地,锄"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
hose,"n.软管,水龙带,长筒袜v.用软管浇水"
hug,
hull,"n.(果实等的)外壳,船体,Hull赫尔"
hum,"v.嗡嗡叫,哼n.嗡嗡声,吵杂声"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
debt,"n.债务,罪过"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
oblige,"vt.迫使,责成"
respond,"v.回答,响应,作出反应vi.有反应"
correspond,"vi.符合,协调,通信,相当,相应"
correspondence," /n.函授 principle//n.对 school//n.函授/n.相应,通信,信件/纬"
corresponding,"adj.相应的,通讯的"
correspondent,"n.通讯记者,通信者"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
commerce,n.商业
commence,"v.开始,着手"
commodity,n.日用品
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
corporate,"adj.社团的,法人的,共同的,全体的"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
undertake,"vt.承担,担任,许诺,保证v.采取"
enter,"vt.进入,加入,参加,登录,开始vi.进去,[戏]登场,参加n.输入,[计]回车"
tailor,
detail,"n.细节,详情vt.详述,细说"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
learn,"vi.学习,听到,获悉vt.学习,学会,认识到"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
relieve,"vt.减轻,解除,援救,救济,换班"
cease,"v.停止,终了"
tease,"n.揶揄,戏弄,逗惹vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理"
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
charter,"vt.租,包(船、车等)n.宪章"
rent,"v.租,租借,出租n.租金"
let,"vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
roller,"n.滚筒,辊子"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
retire,"vi.退休,引退,退却,撤退,就寝"
entire,"adj.全部的,完整的,整个"
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
thorough,"adj.十分的,彻底的"
delete,vt.删除
athlete,"n.运动员,运动选手"
install,"vt.安装,安置,使就职"
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
trust,"vt.信任,信赖,盼望,希望,赊卖,热望,切望n.(～ in) 信任,信赖"
mutual,"adj.相互的,共有的"
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
discipline,"n.纪律,学科v.训练"
principle,"n.法则,原则,原理"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
antique,"n.古物,古董adj.古时的,过时的"
entreat,"v.恳求,乞求,<古>对待,对付"
equilibrium,"n.平衡,平静,均衡,保持平衡的能力,沉着,安静"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
devil,"n.魔鬼,恶棍"
halve,"vt.二等分,平分,分享,减半"
right,"n.正义,公正,正确,权利,右边,右派adj.正当的,正确的,对的,合适的,恰当的,健康的,健全的,正面的adv.正当地,正确地,一直地,直接地,完全地,彻底地,在右边"
absurd,"adj.荒谬的,可笑的"
abrupt,"adj.突然的,陡峭的,生硬的"
volcano,n.火山
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
bribe,"n.贿赂vt.贿赂,向...行贿"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
reproach,v.责备
scold,"v.责骂,申斥,斥责"
afford,"vt.提供,给予,供应得起,"
aggregate,"n.合计,总计,集合体adj.合计的,集合的,聚合的v.聚集,集合,合计"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
alienate,v.疏远
attitude,"n.姿势,态度,看法,意见"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
longitude,"n.经度,经线"
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
multitude,"n.多数,群众"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
startle,v.震惊
amaze,vt.使吃惊
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
applaud,"v.拍手喝彩,称赞,赞同"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
assemble,"vt.集合,聚集,装配vi.集合"
resemble,"vt.象,类似"
attempt,"n.努力,尝试,企图vt.尝试,企图"
adhere,"vi.粘附,胶着,坚持v.坚持"
coherent,"adj.粘在一起的,一致的,连贯的"
inherent,"adj.固有的,内在的,与生俱来的"
inherit,"vt.继承,遗传而得"
heir,"n.继承人,后嗣"
adore,"v.崇拜,爱慕,(口语)喜爱"
worship,"n.崇拜,礼拜,尊敬vi.敬神,拜神vt.崇拜,尊敬"
agent,n.代理(商)
schedule,"n.时间表,进度表v.确定时间"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
agriculture,"n.农业,农艺,农学"
ambition,"n.野心,雄心"
analyze,"vt.分析,分解"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
argue,"vi.争论,辩论vt.说服"
coarse,"adj.粗糙的,粗鄙的"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
raw,"n.生肉,擦伤处,身上的痛处adj.未加工的,生疏的,处于自然状态的,,不掺水的,擦掉皮的,阴冷的,刺痛的vt.擦伤"
collaborate,"vi.合作,通敌"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
league,"n.同盟,联盟,盟约,联合会,社团v.组联盟,(使)加盟"
colleague,"n.同事,同僚"
memorial,"n.纪念物,纪念馆,纪念议事,请愿书adj.记念的,记忆的"
commend,"vt.称赞,表扬,推荐,委托,吸引"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
compare,"v.比较,相比,比喻 n.比较"
pile,"n.堆,大堆,高大建筑,<美口>大量钱财,<美>[核]反应堆,[电]电池组vi.堆起,堆积,积累,挤vt.堆于,累积,堆叠,打桩于,用桩支撑"
compile,"vt.编译,编辑,汇编"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
supplement,"n.补遗,补充,附录,增刊v.补充"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
concentrate,"v.集中,浓缩"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
conflict,"n.斗争,冲突vi.抵触,冲突"
consolidate,v.巩固
continue,"v.继续,连续,延伸"
cozy,"adj.舒适的,安逸的,惬意的"
disable,"v.使残废,使失去能力,丧失能力"
disappoint,vt.使失望
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
discriminate,"v.歧视,区别,区别待遇"
disguise,"v.假装,伪装,掩饰n.伪装"
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
mess,"n.混乱,脏乱v.弄乱"
tangle,n.混乱状态v.处于混乱状态
disperse,"v.(使)分散,(使)散开,疏散"
dissipate,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
displace,"vt.移置,转移,取代,置换v.转移"
dissolve,"v.溶解,解散"
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
turbine,n.涡轮
turbulent,"adj.狂暴的,吵闹的"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
embody,"vt.具体表达,使具体化,包含,收录"
empire,"n.帝国,帝权"
emperor,"n.皇帝,君主"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
emphasize,"vt.强调,着重v.强调"
enclose,"vt.放入封套,装入,围绕"
endeavor,"n.努力,尽力vi.尽力,努力"
enlarge,"v.扩大,放大"
endanger,vt.危及
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
enhance,"vt.提高,增强v.提高"
heighten,"v.提高,升高"
lessen,"v.减少,减轻"
deafen,vt.使聋vi.变聋
strait,"adj.艰难的,苦恼的,窘迫的n.地峡,[straits] 海峡"
elapse,"vi.(时间)过去,消逝v.流逝"
lap,"n.(坐时的)大腿前部,膝盖,舔声,(水)溅泼声,重叠的部分,(跑道的)一圈,衣兜,下摆vi.重叠,围住,轻拍,舔vt.包围,抱...在膝上,使重叠,舔食,泼溅,拍打"
overlap,v.(与...)交迭
clap,"n.拍手声,霹雳声v.鼓掌,轻拍"
clamp,"n.夹子,夹具,夹钳vt.夹住,夹紧"
clasp,"n.扣子,钩,紧握,抱住v.扣紧,紧握,搂抱,密切合作"
elastic,adj.弹性的
eligible,"adj.符合条件的,合格的"
eliminate,"vt.排除,消除v.除去"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
era,"n.时代,纪元,时期,[地]代"
equip,"vt.装备,配备,训练,准备行装"
erode,"vt.侵蚀,腐蚀,使变化vi.受腐蚀,逐渐消蚀掉"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
escort,"n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同"
estimate,"v.估计,估价,评估n.估计,估价,评估"
vapor,"n.水汽,水蒸气,无实质之物vi.蒸发,自夸vt.使蒸发n.自夸者"
exaggerate,"v.夸大,夸张"
excite,"vt.刺激,使兴奋,使激动vi.<口>兴奋,激动"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
endow,"v.捐赠,赋予"
jeopardize,v.危害
improve,"v.改善,改进"
pulse,"n.脉搏,脉冲"
indignant,"adj.愤怒的,愤慨的"
inhabit,"vt.居住于,存在于,占据,栖息"
dwell,"vi.居住,踌躇"
reside,vi.居住
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
integrity,"n.正直,诚实,完整,完全,完整性"
neighbor,"n.<美> 邻居,邻国"
timid,"adj.胆小的,羞怯的"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
irritate,"vt.激怒,使急躁v.刺激"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
ingredient,"n.成分,因素"
industry,"n.工业,产业,行业,勤奋"
illiterate,"n.文盲adj.不识字的,没受教育的"
literature,"n.文学(作品),文艺,著作,文献"
literal,"adj.文字的,照字面上的,无夸张的"
inertia,"n.惯性,惯量"
interact,"vi.互相作用,互相影响"
interfere,"vi.干涉,干预,妨碍,打扰"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
interval,"n.间隔,距离,幕间休息n.时间间隔"
perfume,"n.香味,芳香,香水vt.使发香,洒香水于,发香味"
period,"n.时期,学时,节,句点,周期,(妇女的)经期adj.过去某段时期的int.没有了"
persecute,v.迫害
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
persevere,v.坚持
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
complex,"adj.复杂的,合成的,综合的n.联合体"
perplex,v.困惑
bewilder,"vt.使迷惑,使不知所措,使昏乱"
prestige,"n.声望,威望,威信"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
prior,"adj.优先的,在前的n.预先adv.在"
preliminary,"adj.预备的,初步的"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
primitive,"adj.原始的,远古的,粗糙的,简单的"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
file,"n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉"
document,"n.公文,文件,文档,档案,文献v.证明"
prohibit,"vt.禁止,阻止"
forbid,"vt.禁止,不许v.禁止"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
length,"n.长度,长,时间的长短,[语]音长"
prolong,"vt.延长,拖延"
longing,n.渴望
linger,"v.逗留,闲荡,拖延,游移"
pronounce,"v.发音,宣告,断言"
announce,"vt.宣布,通告"
denounce,"vt.公开指责,公然抨击,谴责"
propagate,"v.繁殖,传播,宣传"
propaganda,"n.宣传,[天主教]传道总会"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
prose,n.散文
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
recall,"vt.回忆,回想,记起,取消n.召回"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
cite,"vt.引用,引证,提名表扬"
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
recognize,"vt.认可,承认,公认,赏识vi.具结"
create,"vt.创造,创作,引起,造成"
recreate,"v.(使)得到休养,(使)得到娱乐"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
freshen,"v.(使)显得新鲜,(使)精神饱满,(使)减少咸味"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
restrict,"vt.限制,约束,限定"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
constrain,"vt.强迫,抑制,拘束"
restrain,"vt.抑制,制止"
regard,"n.关心,注意,尊敬,尊重,致意,问候,关系vt.看待,当作,重视,尊敬,关系"
regime,"n.政体,政权,政权制度"
regiment,"n.团,大群v.把...编组,把...编成团,管辖"
regret,"n.遗憾,悔恨,抱歉,歉意vt.为...感到遗憾,后悔,惋惜,哀悼,懊悔vi.感到抱歉"
regular,"adj.规则的,有秩序的,经常的,(花)整齐的,常备军的,等边的,合格的,定期的n.正规军,正式队员adv.经常地n.正常体"
rehearse,"vt.预演,排演,使排练,复述,练习,背诵,作假vi.排练,练习,演习"
rein,"n.缰绳,统治,支配vt.以缰绳控制,统治,驾驭vi.勒住马,止住"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
rejoice,"v.(使)欣喜,(使)高兴,喜悦"
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼"
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
gay,"adj.欢迎的,<美俚>同性恋的,放荡的,快乐的n.<美俚> 同性恋者,尤指男性同性者"
jolly,"adj.欢乐的,高兴的,快活的"
remedy,"n.药物,治疗法,补救,赔偿vt.治疗,补救,矫正,修缮,修补"
remain,"vi.保持,逗留,剩余,残存"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
makeup,"n.天性,化妆品,补充,虚构,组成,结构,补考,体格"
mansion,"n.大厦,官邸,公寓(用复数,用于专有名词中)"
maple,"n.[植]枫,枫木,淡棕色"
market,"n.市场,销路,行情vt.在市场上交易,使上市vi.在市场上买卖"
martyr,"n.烈士,殉教者v.杀害,折磨"
mast,"n.桅,桅杆,柱,旗杆,天线竿vt.装桅杆于"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴vi.更新,重新开始"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
haunt,v.神鬼出没
retreat,"vi.撤退,退却n.撤退,退却"
reveal,"vt.展现,显示,揭示,暴露"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
conscience,"n.良心,道德心"
revenge,"n.报仇,复仇vt.替...报仇,复仇"
vengeance,"n.复仇,报仇"
scholar,n.学者
shuttle,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭v.穿梭往返"
stationery,"n.文具,信纸"
parachute,n.降落伞
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
parameter,"n.参数,参量,<口>起限定作用的因素"
paralyze,"vt.使瘫痪,使麻痹"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
automate,"v.使自动化,自动操作"
mechanic,"n.技工,机修工,机械士"
mechanism,"n.机械装置,机构,机制"
monopoly,"n.垄断,垄断者,专利权,专利事业"
monologue,"n.独白,独脚戏"
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少"
tone,"n.音调,音质,语调,色调,状况,品质,语气,气氛vt.调和,增强,以特殊腔调说,配合,定音调vi.颜色调和"
intonation,"n.语调,声调"
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
assist,"v.援助,帮助"
consist,"vi.由...组成,在于,一致"
insist,"v.坚持,强调"
persist,"vi.坚持,持续"
resist,"vt.抵抗,反抗,抗,忍得住"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
transistor,n.[电子]晶体管
transparent,"adj.透明的,显然的,明晰的"
apparent,"adj.显然的,外观上的"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
radioactive,"adj.放射性的,有辐射能的"
radiate,"vt.放射,辐射,传播,广播vi.发光,辐射,流露adj.有射线的,辐射状的"
radiator,"n.散热器,水箱,冷却器,电暖炉,辐射体"
radiant,"adj.发光的,辐射的,容光焕发的"
radical,"adj.根本的,基本的,激进的n.激进分子"
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
author,"n.作家,创造者"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
assert,"v.断言,声称"
insert,"vt.插入,嵌入n.插入物"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
dessert,n.餐后甜点
imply,"vt.暗示,意味"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
multiply,"v.繁殖,乘,增加"
comply,"vi.顺从,答应,遵守"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
complicated,"adj.复杂的,难解的"
obey,"v.服从,顺从"
abide,"vi.坚持,遵守;vt.忍受,容忍"
tolerate,"vt.忍受,容忍"
forgive,"vt.原谅,饶恕,宽免(某人)之债务"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
partly,"adv.部分,几分"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
collide,"vi.碰撞,抵触"
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
slipper,"n.拖鞋,制轮器vt.用拖鞋打(孩子等)"
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
compete,"vi.比赛,竞争"
competent,"adj.有能力的,胜任的"
appetite,"n.食欲,胃口,欲望,爱好"
perpetual,adj.永久的
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
inflate,"vt.使膨胀,使得意,使(通货)膨胀,使充气vi.充气,膨胀"
deflate,"vt.放气,抽出空气,使缩小,紧缩(通货)vi.缩小"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
compute,"v.计算,估计,用计算机计算(或确定)"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
strife,"n.斗争,冲突,竞争"
inclusive,
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
luxury,"n.奢侈,华贵"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
confuse,"vt.搞乱,使糊涂"
baffle,"vt.困惑,阻碍,为难"
refuse,"vt.拒绝,谢绝n.废物,垃圾"
refute,"vt.驳倒,反驳"
fuse,"n.保险丝,熔丝v.熔合"
blend,vt.混和n.混和
bleach,"v.漂白,变白"
blind,"adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
mingle,v.(使)混合
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
submerge,"v.浸没,淹没,掩没vi.潜水"
observe,"vt.观察,观测,遵守,评述,说"
deserve,"vt.应受,值得v.应受"
conserve,"vt.保存,保藏"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
pickle,"n.(腌肉、菜等用的)盐汁,醋汁,腌渍品,泡菜vt.腌,泡"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
reservoir,"n.水库,蓄水池"
magnitude,"n.大小,数量,巨大,广大,量级"
