cent,"n.(货币单位)分,分币"
oriental,"n.东方人(尤指中国人和日本人)adj.东方诸国的,亚洲的,东方的,(珍珠等)最优质的"
aboriginal,"adj.土著的,原来的n.土著居民"
depend,"vi.依靠,依赖"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
suspend,"vt.吊,悬挂v.延缓"
dependable,adj.可靠的
pending,adj.未决的
suspension,"n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟"
suspense,"n.焦虑,悬念,悬而不决"
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
inject,"vt.注射,注入"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
abject,"adj.卑鄙的,可怜的"
deject,"vt.使沮丧,使灰心"
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的"
restrain,"vt.抑制,制止"
restrict,"vt.限制,约束,限定"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
constrain,"vt.强迫,抑制,拘束"
constrict,v.压缩
restriction,"n.限制,约束"
constringe,"vt.使收缩,使收敛,压缩"
finish,"n.完成,结束,磨光,末道漆,完美vt.完成,结束,用完,毁掉,使完美vi.结束,终结,停止,终止"
final,"n.结局,决赛,期末考试,<口>报纸(在一天中)最晚版adj.最后的,最终的,决定性的"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
confine,"vt.限制,禁闭n.界限,边界"
define,"vt.定义,详细说明"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
finite,"adj.有限的,[数]有穷的,限定的"
definitive,"adj.最后的,确定的,权威性的"
finalist,n.参加决赛的选手
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
dialect,"n.方言,语调"
legendary,"n.传奇故事书,传奇文学adj.传说中的"
allege,"vt.宣称,断言"
legible,"adj.清晰的,易读的"
idiolect,n.个人习语
excite,"vt.刺激,使兴奋,使激动vi.<口>兴奋,激动"
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
cite,"vt.引用,引证,提名表扬"
incite,"vt.激动,煽动"
citation,n.引用
recital,"n.朗诵,背诵,叙述,独奏会,独唱会"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
discern,"v.目睹,认识,洞悉,辨别,看清楚"
ascertain,"vt.确定,探知"
certainty,"n.确定,确实的事情"
certify,"v.证明,保证"
discriminate,"v.歧视,区别,区别待遇"
certitude,"n.确实,确信"
discriminating," /adv.有辨别力/adj.识别的,有差地,有差别地,区别别的,有识别力的"
probable,"adj.很可能的,大概的"
approve,"vi.赞成,满意vt.批准,通过v.批准"
approval,"n.赞成,承认,正式批准"
disprove,"v.反驳,驳斥,证明...为误"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
probability,"n.可能性,或然性,概率"
probation,"n.试用,见习,鉴定,查验,证明,察看,缓刑"
disapprove,v.不赞成
approbate,"vt.许可,认可,承认"
approbation,"n.官方批准,认可,嘉许"
respond,"v.回答,响应,作出反应vi.有反应"
correspond,"vi.符合,协调,通信,相当,相应"
response,"n.回答,响应,反应"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
despond,v.失望
despondent,adj.沮丧的
literature,"n.文学(作品),文艺,著作,文献"
literacy,"n.有文化,有教养,有读写能力"
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
illiteracy,n.文盲
literal,"adj.文字的,照字面上的,无夸张的"
illiterate,"n.文盲adj.不识字的,没受教育的"
literate,"n.学者adj.有文化的,有阅读和写作能力的"
obliterate,"vt.涂去,删除,使湮没"
preliterate,adj.文字出现以前的
symphony,"n.交响乐,交响曲"
telephone,"n.电话,电话机v.打电话"
microphone,"n.扩音器,麦克风"
phonograph,"n.留声机,电唱机vi.灌入留声机"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
prosperous,adj.繁荣的
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
prosperity,n.繁荣
desperado,"n.暴徒,(尤指早期美国西部的)亡命之徒"
verb,n.[语]动词
adverb,n.副词
proverb,n.谚语
verbal,adj.口头的
verbatim,adj.逐字的adv.逐字地
verbose,"adj.详细的,冗长的"
migrant,"n.候鸟,移居者"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
emigrate,vi.永久(使)移居vt.(使)移民
immigrate,vt.使移居入境vi.移来
emigrant,"n.移居外国者,移民"
migratory,"adj.迁移的,流浪的"
disperse,"v.(使)分散,(使)散开,疏散"
dispersal,"n.散布,分散,消散,驱散,疏散"
dispersion,"n.散布,驱散,传播,散射n.[数] 离差,差量"
intersperse,"vt.散布,点缀"
aspersions,
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
corruption,"n.腐败,贪污,堕落"
abrupt,"adj.突然的,陡峭的,生硬的"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
erupt,vt.喷出vi.爆发
bankruptcy,n.破产
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
rupture,"v.破裂,裂开,断绝(关系等),割裂n.破裂,决裂,敌对,割裂"
eruption,"n.爆发,火山灰,[医]出疹"
interruption,"n.中断,打断"
expedition,"n.远征,探险队,迅速,派遣"
pedal,n.踏板v.踩...的踏板
expedient,adj.有利的n.权宜之计
expedite,"v.加速,派出adj.畅通的,迅速的"
expeditious,"adj.迅速的,敏捷的"
encyclopedia,n.百科全书
pedology,"n.儿科学,土壤学"
pediatrist,n.儿科医师
pedant,n.学究式人物
pedantry,"n.炫学,假装学者,卖弄学问"
decide,"v.决定,判决"
decision,"n.决定,决心,决议,结果,果断,坚定"
precise,"adj.精确的,准确的n.精确"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
pesticide,n.杀虫剂
concise,"adj.简明的,简练的"
homicide,"n.杀人,杀人者"
incise,"vt.切割,雕刻"
excise,"n.消费税,货物税,国产税vt.收税,切除"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
exhausted,"adj.耗尽的,疲惫的"
exhaustion,"n.耗尽枯竭,疲惫,筋疲力尽,竭尽,详尽无遗的论述"
exhaustive,"adj.无遗漏的,彻底的,详尽的,无遗的"
inhaust,"v.吸,饮"
victor,n.胜利者adj.胜利者的 Victor 维克托(男子名)
victory,"n.胜利,战胜,克服,[罗神]胜利女神"
convince,"vt.使确信,使信服"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
evict,"v.驱逐,逐出(租户),收回(租屋、租地等)"
evince,"vt.表明,表示"
convincing,"adj.令人信服的,有力的,令人心悦诚服的"
emperor,"n.皇帝,君主"
empire,"n.帝国,帝权"
imperial,adj.皇帝的
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
imperious,adj.专横的
monster,"n.怪物,妖怪"
demonstrate,"vt.示范,证明,论证vi.示威"
monstrous,"adj.巨大的,畸形的,怪异的,恐怖的,凶暴的adj.<口>难以置信的,荒谬的"
demonstration,"n.示范,实证"
remonstrate,v.抗议
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
communal,"adj.公共的,公社的"
immunity,n.免疫性
municipality,"n.市政当局,自治市"
commune,"n.公社vi.密切联系,谈心"
communize,"v.使为社会公有,使共有化"
punish,"vt.惩罚,处罚"
penalty,"n.处罚,罚款"
repent,"v.后悔,悔改,忏悔,悔悟"
penitent,adj.悔过的n.悔罪者
impunity,"n.不受惩罚,免罚,无患"
terrify,"vt.使恐怖,恐吓"
terrible,"adj.很糟的,极坏的,可怕的,骇人的"
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
terrorist,n.恐怖分子
deter,v.阻止
terrific,adj.令人恐怖的
deterrent,n.威慑
censor,"n.检查员vt.检查,审查"
census,n.人口普查
uncensored,"adj.未经审查的,无保留的"
censorious,"adj.受批判的,挑剔的"
censure,v.责难n.责难
heir,"n.继承人,后嗣"
heirship, 继承权
hereditable,"adj.可继承的,可遗传的"
heiress,n.女性继承人
heirloom,"n.传家宝,相传动产"
hereditament,"n.可继承的财产,世袭财产"
hereditarian,n.遗传论者
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
manufacture,"vt.制造,加工n.制造,制造业,产品"
manuscript,"n.手稿,原稿"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
manicure,n.修指甲v.修剪
manumit,"vt.解放,释放"
quantity,"n.量,数量"
quantify,vt.确定数量v.量化
quantitative,"adj.数量的,定量的"
quantitate,"v.测定(估计)的数量,用数量来表示"
quote,"vt.引用,引证,提供,提出,报(价)"
quotation,"n.引用语,价格,报价单,行情表"
quota,"n.配额,限额"
quotative,adj.引证的
misquote,v.错误地引用
becalm,"vt.使安静,因无风而使停航"
beware,"v.小心,谨防"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
befall,"v.降临,遭遇,加于"
befit,vt.适合
befoul,"vt.弄脏,诽谤"
beguile,"vt.诱骗,诱惑"
belittle,"vt.轻视,使渺小,使...显得渺小"
becloud,"vt.使遮暗,蒙蔽"
belie,v.掩饰
bepowder,"v.洒粉,用粉涂覆"
behold,vt.把...视为vi.看
illegal,"adj.违法的,不合规定的"
illicit,adj.违法的
illegible,"adj.难辨认的,字迹模糊的"
illegitimate,"adj.违法的,非嫡出的,庶生的,私生的,不合理的,不合逻辑的n.非嫡出子,庶子vt.认为违法,认做私生子"
illiberal,"adj.狭碍的,偏执的,吝啬的,缺乏文化素养的,粗鄙的"
illimitable,"adj.无限的,无边际的"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
illusion,n.幻想
illapse,
inevitable,"adj.不可避免的,必然的"
impassive,adj.冷漠的
irregular,"adj.不规则的,无规律的"
impartial,"adj.公平的,不偏不倚的"
inaccessible,"adj.达不到的,难以接近"
inaccurate,"adj.错误的,不准确的"
incapable,"adj.无能力的,不能的"
immoderate,adj.不适中的
immature,"adj.不成熟的,未完全发展的"
immoral,"adj.不道德的,邪恶的,放荡的,淫荡的"
inhuman,adj.野蛮的
irrevocable,adj.不能取消的
irrelevant,"adj.不相关的adj.不相关的,不切题的"
irresistible,"adj.不可抵抗的,不能压制的"
irreconcilable,"adj.不能协调的,矛盾的"
include,"vt.包括,包含"
immigrate,vt.使移居入境vi.移来
inject,"vt.注射,注入"
inhale,vt.吸入vi.吸气
inflow,"n.流入,流入物"
ingest,"vt.摄取,咽下,吸收"
immure,"vt.监禁,禁闭,把...嵌在墙上"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
contradict,"vt.同...矛盾,同...抵触"
counteract,"vt.抵消,中和,阻碍"
counterpart,"n.副本,极相似的人或物,配对物"
counterbalance,"vt.使平均,使平衡,弥补n.平衡量,平衡力,势均力敌"
contravene,v.违反 抵触
sympathy,"n.同情,同情心"
system,"n.系统,体系,制度,体制,秩序,规律,方法"
symphony,"n.交响乐,交响曲"
symmetry,"n.对称,匀称"
symposium,"n.讨论会,座谈会"
syndrome,n.综合病症
synchronous,"adj.同时的,[物]同步的"
select,"vt.选择,挑选adj.精选的"
secession,n.脱离
segregate,v.隔离
seduce,v.诱使
secede,"vi.正式脱离或退出,分离"
subculture,"n.次培养基,次培养菌v.次培养"
subfamily,n.[生]亚科
subcontinent,n.次大陆
subatomic,
submetallic,adj.亚金属的
subtropics,n.[地]亚热带地方
subarid,adj.半干燥的
subangular,
subacid,adj.略带酸味的
subacute,"adj.稍尖的,亚急性的"
subconical,adj.接近(圆)锥形的
suburb,"n.市郊,郊区"
subarctic,adj.亚北极区的
subadult,adj.接近成年的n.接近成年的人
subcentral,"adj.中心下面的 近中心的,距中心不远的"
subequal,"adj.几乎相等的,近似相等的"
sublet,v.转租n.转租的房屋
subdivide,"v.再分,细分"
subtenant,n.转借者
subcontract,n.转包合同
submerge,"v.浸没,淹没,掩没vi.潜水"
subbranch,
suboffice,"n.分办事处,分所,分行,分公司"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
subsidiary,"adj.辅助的,补充的"
subdue,v.征服
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
subheading,n.副标题
submissive,adj.顺从的
subtitle,"n.副题(书本中的),说明对白的字幕"
subvert,"vt.推翻,暗中破坏,搅乱"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
benevolent,adj.慈善的
benediction,n.祝福
beneficent,"adj.慈善的,仁慈的,善行的"
retrospect,n.回顾
retrocede,"v.交还,归还"
retrogress,v.退步
retroaction,n.反作用
retrovert,"vt.向后弯曲,使后屈"
anti-bacterial,
anti-trust,
antidote,"n.[医]解毒剂,矫正方法"
anti-social,
anti-war,
antagonism,"n.对抗(状态),对抗性"
antibody,n.抗体
vice-chairman,
vice-manager,
vice-minister,
vice-premier,
vice-president,
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
parapolitical,adj.准政治性的
paralegal,"adj.辅助律师业务的n.律师的专职助手,律师帮办"
paramedic,"n.伞兵军医,护理人员"
paradigm,n.范例
paralyze,"vt.使瘫痪,使麻痹"
paradox,"n.似非而是的论点,自相矛盾的话"
paranormal,"adj.超过正常的,超过正常范围的"
paralogism,n.谬论
paragon,n.模范
transect,"v.横断,横切n.横断面"
transpersonal,"adj.超越个人的,超过人的"
transcend,"vt.超越,胜过"
transatlantic,adj.大西洋彼岸的
transcontinental,"adj.横贯大陆的,大陆那边的,<主加拿大>横穿大路的列车(或铁路)"
transgress,"vt.违反,犯罪,侵犯vi.越界,违法"
transparent,"adj.透明的,显然的,明晰的"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
transitory,adj.短时间的
byproduct,n.副产品
bywork,"n.副业,业余活计"
byroad,"n.间道,侧道"
byway,n.小道
bygone,n.过去的事adj.过去的
bypass,"n.旁路vt.设旁路,迂回"
bystander,"n.看热闹的人,旁观者"
bylaw,"n.次要法规,(社,团制定的)规章制度"
stepchild,n.前夫(或前妻)所生子女
stepdaughter,"n.继女,过继的女儿"
stepbrother,n.同父异母(或同母异父)的哥哥(或弟弟)
stepfather,n.继父
stepmother,n.继母
stepsister,n.异父姊妹
stepson,"n.继子,过继的儿子"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
survival,"n.生存,幸存,残存,幸存者,残存物"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
surcharge,"n.超载,追加罚款,额外费vt.使装载过多,追加罚款"
surpass,"vt.超越,胜过"
surname,n.姓v.用姓称呼
surmount,"vt.战胜,超越,克服,在...顶上"
surround,"vt.包围,环境v.围绕"
surrounding,"n.围绕物,环境adj.周围的"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
surreptitious,"adj.暗中的,秘密的,偷偷摸摸的"
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
support,"vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受n.支撑,支持,支援,维持,赡养,支持者,支柱"
suppress,"vt.镇压,抑制,查禁,使止住"
succumb,"vi.屈服,屈从,死"
supplant,"vt.排挤掉,代替"
suffuse,v.充满
chemistry,n.化学
dentistry,n.牙科
masonry,"n.石工术,石匠职业"
forestry,"n.林产,森林地,林学"
machinery,"n.[总称] 机器,机械"
poultry,n.家禽
peasantry,"n.农民,小农阶级"
citizenry,n.公民成市民(集合称)
gentry,n.贵族们
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
laundry,"n.洗衣店,要洗的衣服,洗熨"
pantry,"n.餐具室,食品室"
foundry,"n.铸造,翻砂,铸工厂,玻璃厂,铸造厂"
fishery,"n.渔业,水产业,渔场,养鱼术"
anxiety,"n.忧虑,焦急,渴望,热望"
variety,"n.变化,多样性,种种,品种,种类"
satiety,n.过饱
sobriety,n.清醒
gaiety,"n.欢乐的精神,欢乐的气氛 pl.作乐,乐事"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
imaginary,"adj.假想的,想象的,虚构的"
monetary,"adj.货币的,金钱的"
cautionary,adj.警戒的
honorary,"adj.荣誉的,名誉的,(债务的)道义上的"
contemporary,"n.同时代的人adj.当代的,同时代的"
secretary,"n.秘书,书记,部长,大臣"
adversary,"n.敌手,对手"
luminary,"n.发光体(如日、月等天体),知识渊博的人"
beneficiary,"n.受惠者,受益人"
dictionary,"n.字典,词典"
salary,n.薪水vt.给...加薪
glossary,n.术语表
commentary,"n.注释,解说词"
capillary,"n.毛细管adj.毛状的,毛细作用的"
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
sympathetic,"adj.有同情心的,合意的,赞成的n.[解]交感神经,容易感受的人"
energetic,"adj.精力充沛的,积极的"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
dramatic,"adj.戏剧性的,生动的"
romantic,"adj.传奇式的,浪漫的,空想的,夸大的"
pathetic,"adj.可怜的,悲惨的"
genetic,"adj.遗传的,起源的"
chromatic,adj.彩色的
aromatic,adj.芬芳的
contradictory,"adj.反驳的,反对的,抗辩的n.矛盾因素,对立物"
advisory,"adj.顾问的,咨询的,劝告的"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
peremptory,"adj.断然的,专横的,强制的"
refractory,"adj.难控制的,难熔的"
resistant,"adj.抵抗的,有抵抗力的"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
intoxicant,n.使醉的东西adj.使醉的
vibrant,adj.振动
repentant,"adj.后悔的,悔改的,有悔改表现的"
assistant,"n.助手,助教adj.辅助的,助理的"
aspirant,"n.有抱负者,有野心者adj.上进的,有野心的"
downward,adj.向下的
upward,"adj.向上的,(声调)声高的adv.以上"
forward,"adj.早的,迅速的,前进的vt.转寄,促进,运送adv.向前地,向将来n.[体](足球等)前锋"
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
inward,"adv.向内,在内adj.向内的,内在的"
outward,"adj.外面的,外表的,公开的,向外的,外出的adv.向外,在外,表面上n.外表,周围世界"
northward,adv.向北adj.向北的
waterproof,"adj.防水的,不透水的"
bulletproof,adj.防弹的
fireproof,"adj.耐火的,防火的vt.使防水,使耐火"
airproof,"adj.不通气的,密不透气的vt.使不透气,密封"
lightproof,adj.防光的
rainproof,"n.雨衣,雨披adj.防水的"
soundproof,adj.隔音的
tiresome,"adj.无聊的,烦人的"
troublesome,"adj.麻烦的,讨厌的,棘手的"
lonesome,adj.寂寞的
burdensome,"adj.繁重的,烦累的,难以承担的"
loathsome,adj.讨厌的
airmanship,"n.飞行术,导航技术"
workmanship,"n.手艺,技艺,作工,技巧"
horsemanship,n.马术
salesmanship,"n.推销术,说服力,销售,推销"
penmanship,n.书法
citizenship,"n.公民的身份,公民的职责和权力"
membership,"n.成员资格,成员人数"
doctorship,
professorship,n.教授之职
apprenticeship,"n.学徒的身份,学徒的年限"
acceptable,"adj.可接受的,合意的"
adjustable,adj.可调整的
agreeable,"adj.使人愉快的,惬意的,适合的"
comparable,"adj.可比较的,比得上的"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
sensible,"adj.有感觉的,明智的,有判断力的"
knowable,adj.可知的
producible,adj.可生产的
eligible,"adj.符合条件的,合格的"
conceivable,"adj.可能的,想得到的,可想像的"
tractable,"adj.易驾驭的,驯良的,易管教的,易处理的"
presumably,"adv.推测起来,大概"
equitably,adv.公正地
notably,"adv.显著地,特别地"
suitably,"adv.合适地,适宜地,相称地"
favorably,"adv.顺利地,好意地,亲切地"
inflammability,n.易燃性
usability,n.可用性
conductibility,n.传导性
adaptability,n.适应性
sensibility,n.敏感性
nationality,"n.国籍,国家,部落,民族,民族性"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
frugality,"n.节俭,俭省"
vitality,"n.活力,生命力,生动性"
hospitality,"n.好客,宜人,盛情"
mortality,n.死亡率
liberality,"n.宽大,磊落"
neighborhood,"n.附近,邻近"
childhood,n.孩童时期
brotherhood,"n.手足情谊,兄弟关系"
boyhood,n.少年时代
manhood,n.成年
likelihood,"n.可能,可能性"
failure,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
torture,"n.折磨,痛苦,拷问,拷打vt.拷问,曲解,折磨,使弯曲"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
closure,n.关闭vt.使终止
signature,"n.签名,署名,信号"
miniature,"n.缩小的模型,缩图,缩影adj.微型的,缩小的"
expenditure,"n.支出,花费"
scripture,"n.手稿,文件,[Scripture] 基督教(圣经),经文"
censure,v.责难n.责难
condemnatory,"adj.非难的,处罚的"
mandatory,"adj.命令的,强制的,托管的"
defamatory,"adj.破坏名誉的,诽谤的"
explanatory,"adj.说明的,解释性"
anticipatory,"adj.预料的,预想的"
compensatory,adj.补偿性的
laboratory,n.实验室
lavatory,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
conservatory,"n.温室,音乐学校"
auction,n.拍卖vt.拍卖
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
augment,"v.增加,增大n.增加"
august,"adj.令人敬畏的,威严的n.八月(略作Aug) August 八月"
inaugural,"adj.就职的,开始的n.就职演说"
lucent,"adj.光亮的,透明的 美国朗讯科技公司,原AT&T实验室"
lucid,adj.明晰的
elucidate,"vt.阐明,说明"
luster,"n.光彩,光泽vi.有光泽,发亮vt.使有光泽"
lusty,"adj.健壮的,精力充沛的"
acidify,"vt.使酸化,使成酸;vi.变酸"
acidity,"n.酸度,酸性,[医]酸过多,胃酸过多"
exacerbate,"vt.恶化,增剧,激怒,使加剧,使烦恼"
acerbic,"adj.酸的,尖刻的"
acetic,"adj.[化]醋的,乙酸的"
aeroplane,n.飞机
aerospace,n.航空宇宙
aeroview,n.空中俯瞰图
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
aerophotography,n.航空摄影术
aeriform,"adj.气体的,无形的"
aerogram,"n.无线电报,航空邮件"
aerosphere,n.大气层
aerate,"vt.使暴露于空气中,使充满气体"
lithiasis,n.[医]结石病
lithosphere,n.[地]岩石圈
aerolith,n.陨石
nephrolith,n.肾结石
paleolithic,adj.旧石器时代的
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
calculus,"n.微积分学,结石"
calcify,"vi.变成石灰质,钙化vt.使成石灰,使钙化"
calcium,n.[化]钙(元素符号Ca)
stratum,"n.[地] 地层,[生](组织的)层,社会阶层"
stratosphere,"n.[气]同温层,最上层,最高阶段"
substratal,"adj.基础的,基本的,根本的"
prostrate,"adj.降伏的,沮丧的,衰竭的,俯卧的vt.弄倒,使屈服"
stratify,vt.(使)成层
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
aquarium,"n.养鱼池,玻璃缸,水族馆"
aquatic,"adj.水的,水上的,水生的,水栖的"
subaqueous,"adj.水中的,水下用的"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
humiliate,"v.羞辱,使丢脸,耻辱"
humid,"adj.充满潮湿的,湿润的,多湿气的"
humility,n.谦卑
inhume,"vt.埋葬,把...土葬"
posthumous,"adj.死后的,身后的,作者死后出版的,遗腹的"
humidify,vt.使潮湿
humidifier,"n.增湿器,湿润器,湿度调节器"
dehumidify,"vt.除湿,使干燥"
dehumidifier,
hydrogen,n.氢
hydrant,"n.消防栓,消防龙头"
carbohydrate,"n.[化]碳水化合物,醣类"
hydroplane,"n.水上滑艇,水上飞机"
hydropower,n.水力发出的电力
dehydrate,vt.(使)脱水
hydrosphere,"n.水圈,水气,水界"
hydrous,adj.含水的
anhydrous,adj.无水的
hydrate,n.氢氧化物v.与水化合
radical,"adj.根本的,基本的,激进的n.激进分子"
eradicate,v.根除
radicalism,n.激进主义
eradication,"n.连根拔除,根除"
irradicable,adj.不能根除的 根深蒂固的
cytogenetics,n.[生]细胞遗传学
cytogenous,adj.[生]细胞发生的
cytochrome,n.[生化]细胞色素
cytogenesis,"n.[生]细胞发生,细胞生成"
cytology,n.[生]细胞学
fiber,n.=fibre 光纤
fibrescope,n.(医用)纤维内窥镜
fibriform,"adj.纤维状的,根毛的"
fiberglass,"n.玻璃纤维,玻璃丝"
fibril,"n.小纤维,[动]纤丝,原纤维,[植]根毛"
fibrous,"adj.含纤维的,纤维性的"
fibroid,"adj.纤维性的,纤维状的n.[医]纤维瘤"
seismic,adj.[地]地震的
seismograph,"n.地震仪,测震仪"
seismology,n.地震学
isoseismic,
atmosphere,"n.大气,空气,气氛"
atmos,
atmology,n.水蒸气学
atmospheric,adj.大气的
complex,"adj.复杂的,合成的,综合的n.联合体"
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
imply,"vt.暗示,意味"
comply,"vi.顺从,答应,遵守"
perplex,v.困惑
complicate,v.(使)变复杂
implicate,"vt.使牵连其中,含意,暗示n.包含的东西"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
complexity,"n.复杂(性),复杂的事物,复杂性"
complication,"n.复杂化,(使复杂的)因素n.[医]并发症"
replicate,v.复制
pliable,"adj.易曲折的,柔软的,圆滑的,柔韧的"
duplex, [计] 双方的
replica,n.复制品
accomplice,"n.同谋者,帮凶"
explicate,v.说明
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假"
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
