arroyo,"n. 干涸沟壑, 旱谷, 小河"
swine,"n. 猪, 卑鄙的家伙"
tadpole,n. 蝌蚪
tarantula,"n. 鸟蛛, 狼蛛
[医] 狼蛛"
talon,"n. 爪, 如爪的手, 魔爪, 爪饰
[医] 磨牙低尖"
termite,n. 白蚁
unicorn,"n. 似马的独角兽
[医] 单角的"
vulture,"n. 秃鹫, 贪婪的人
[法] 贪婪而残酷者, 劫掠成性者"
warren,[网络] 沃伦
walrus,n. 海象
weasel,"n. 鼬鼠, 狡猾的人, 告密者, 狡辩之辞
vi. 躲避, 告密"
aquiline,"a. 鹰的, 似鹰的, 钩状的"
arachnid,"n. 蛛形纲动物
[医] 蜘蛛"
cheetah,n. 猎豹
colt,"n. 小马, 苔绳, 无经验的年轻人"
condor,"n. 神鹰
[电] 一种等幅航行系统"
cygnet,n. 小天鹅
eaglet,n. 小鹰
ecdysis,"n. 蜕皮, 蜕化
[医] 蜕皮, 换羽"
embryonic,"a. 萌芽的, 初期的, 未成熟
[医] 胚胎的"
farrow,"n. 一窝小猪, 猪的一胎"
feline,"a. 猫的, 猫科的, 猫一样的
n. 猫, 猫科动物"
gander,"n. 雄鹅, 笨人, 呆子"
gosling,"n. 小鹅, 年轻无知的人"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
hedgehog,"n. 豪猪, 刺猬, 难交朋友的人, 防卫森严的阵地"
hippopotamus,n. 河马
locust,"n. 蝗虫, 蚱蜢, 蝉"
mangy,"a. 疥癣的, 污秽的"
mermaid,"n. 美人鱼, 善泳的女子"
mutton,n. 羊肉
nestling,"n. 刚孵出的雏, 未离巢的雏, 幼儿"
pony,"n. 矮种马
v. 借助逐字直译文翻译
a. 小型的, 每日摘要的"
quadruped,"n. 四足动物
[医] 四足的, 四足动物"
simian,"a. 类人猿的, 猴子一般的
n. 猴子, 类人猿"
skunk,"n. 臭鼬, 臭鼬皮, 讨厌鬼
vt. 使惨败, 欺骗"
ursine,adj. 熊的；像熊的；熊类的
vermin,"n. 害虫, 歹徒
[医] 虫, 体外寄生虫(如蚤、臭虫、蚤等)"
whelp,"n. 小狗
v. 下崽"
lair,[网络] 空气；比翼的爱；妮娜丽姿
pterodactyl,n. 翼手龙
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
menagerie,"n. 动物园, 野生动物"
proboscis,"n. 长鼻子, 喙
[医] 喙, 吻"
tusk,"n. 长牙, 獠牙, 尖物
vt. 以长牙刺戳, 以长牙掘"
wallow,"vi. 打滚, 沉迷, 颠簸
n. 打滚, 泥坑, 堕落"
ichthyology,"n. 鱼类学
[医] 鱼类学"
plumage,n. 鸟类羽毛
fauna,"n. 动物群
[医] 动物区系"
behemoth,n. 庞然大物
aerie,"n. 猛禽的巢, 高处的房子, 高处的城堡"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
apiary,n. 养蜂场
aviary,"n. 大型鸟舍, 鸟类饲养场"
coop,"v. 把(家禽)关进笼子[棚]；把…关起来 (in up)
n. （关鸡等的）笼子
[网络] 鸡笼；捕鱼笼；鸡舍"
corral,"n. 畜栏
vt. 把...关进畜栏"
fishery,"n. 渔业
[法] 捕鱼, 捕鱼权"
fold, 乘以；…倍；由…部分组成
glade,"n. 林间空地, 沼泽地"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
[医] 习生地, 产地, 生境, 栖所"
leviathan,"n. 海中怪兽, 巨轮"
acorn,"n. 橡树果实
[机] 浆栎, 浆栎果"
arboreal,"a. 树的, 栖于树木的
[医] 树的, 树上生活的"
arboretum,"n. 树木园, 植物园"
asparagus,"n. 芦笋
[化] 天冬; 天门冬"
aspen,"n. 山杨
a. 山杨的, 颤抖的"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
botany,"n. 植物学
[医] 植物学"
bouquet,"n. 花束
[医] 丛, 酒香, 末梢分极"
bud,[计] Quicken的备份磁盘
bulb,"n. 球茎, 电灯泡
[医] 球, 鳞茎, 球茎"
capsule,密封舱
chaff,"n. 谷壳, 糠, 揶揄
v. 开玩笑, 戏弄"
chrysanthemum,n. 菊花
cob,"abbr. cleaning trunk C.O.B. 除尘箱(C.O.B.代表cleaning,opening,blowing)"
cone,"n. 圆锥体, 球果
vt. 使成锥形"
conifer,"n. 松柏目植物, 针叶树"
core,comb.form 表示“…类别的摇滚乐”：queercore
cypress,n. [林] 柏树，柏木属植物（原产北美、欧、亚）；柏树枝（用作哀悼的标志）
elm,"n. 榆树
[计] unix操作系统的信件处理程序"
eucalyptus,"n. 桉(树)属植物
[化] 桉属"
fern,"n. 蕨类植物
[医] 蕨类植物"
fig,"n. 无花果, 无价值的东西, 少许, 服装
vt. 打扮, 使马跑快"
flax,"n. 亚麻, 麻布, 亚麻织品
[医] 亚麻"
flora,n. 植物区系；植物群
foliage,"n. 树叶, 植物"
forestry,"n. 林学, 森林地
[法] 林地, 林学, 林业"
frond,"n. 叶, 植物体
[医] 叶(指蕨类、棕榈类、苏铁类)"
fungi,"pl. 真菌, 突然发生而迅速生长的东西
[医] 真菌, 霉菌, 蕈, 海绵肿"
gardenia,n. 栀子
genus,"n. 种, 类
[医] 属(分类)"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
greenhouse, 温室，陶瓷生坯存放室
grove,n. 小树林
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
herbaceous,"a. 草本的, 叶状的, 绿色的
[医] 草的"
hull,"n. 壳, 皮, 船体
vt. 去壳"
husk,"n. 外壳, 皮, 无价值之物
vt. 剥...的壳, 削皮"
kernel,"n. 核心, 中心, 精髓, 内核
[计] 内核"
maize,"n. 玉蜀黍, 黄色
a. 玉蜀黍色的, 黄色的"
maple,"n. 枫, 枫木, 淡棕色
[机] 枫木"
melon,"n. 瓜, 甜瓜, 红利, 赃物
[化] 三聚二氰亚胺"
menthol,"n. 薄荷醇
[化] 薄荷醇; ┮醇"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
[计] 探针"
nestle,"vi. 舒适地坐定, 挨靠, 偎依
vt. 抱, 安置"
oak,"n. 橡树, 橡木
a. 橡木制的"
orchard,"n. 果园, 果树林"
pecan,n. 美洲山核桃(树)
petal,comb.form 表示“寻找”，“向”，“前进的”，“朝…而去的”
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
[计] 邮件程序"
pod,suff. 表示“有足的”
pollen,"n. 花粉
vt. 传授花粉给"
raisin,n. 葡萄干
reed,[=re-educate]再教育
resin,"n. 树脂
vt. 涂树脂于"
rhubarb,"n. 大黄, 大黄根"
sap,"abbr. scruple apothecaries' 英分,斯克鲁普尔(药量单位)"
scion,"n. 接穗, 子孙
[医] 嫩枝, 接穗"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
seedling,"n. 秧苗, 树苗
[医] 籽苗, 幼苗, 实生苗"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
shrub,"n. 矮树, 灌木, 果汁甜酒"
sod,"n. 草地, (铺草坪用的)草皮, 故乡
vt. 铺上草皮, 以生草土覆盖"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
sprig,"n. 小树枝, 无头钉
vt. 用小树枝装饰, 用钉子钉上, 使蔓生"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
spruce,"n. 云杉
a. 颇为干净的, 俏的, 整洁的
v. (使)显干净, 打扮整齐"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
tare,"n. 巢菜, 稗子, 皮重
vt. 称皮重"
thicket,"n. 丛林, 草丛"
timber,"n. 木材, 木料
vt. 用木材建造"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
[计] 中继线; 母线"
tuber,"n. 块茎, 突起, 结节
[医] 结节; 块茎(植物)"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
vanilla,"n. 香草, 香子兰"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
willow,"n. 柳树, 柳木制品
a. 柳树的, 柳木制的"
whorl,"n. 轮生体, 螺层, 螺旋状物, 涡
vt. 使成涡漩"
xerophyte,n. 旱生植物
almond,"n. 杏仁
[化] 杏仁"
beet,"n. 甜菜(根)
[化] 甜菜"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
bough,n. 大树枝
cursive,"a. 草书的, 草书体的
n. 草书, 草书原稿"
defoliate,v. (使)落叶
florescence,"n. 开花, 花期, 全盛期
[医] 开花期, 花候"
heliotrope,"n. 天芥菜属植物, 淡紫色
[化] 向阳植物; 鸡血石"
oatmeal,"燕麦粉,燕麦面,燕麦片,燕麦粥"
orchid,"n. 兰花, 淡紫色
[医] 兰科植物"
sapling,"n. 树苗, 小树"
windfall,风落物;风折枝
pollinate,vt. 对...授粉
cactus,"n. 仙人掌
[医] 仙人掌属"
ecology,"n. 生态学, 社会生态学
[化] 生态学"
seaweed,海苔
agrarian,"a. 土地的, 耕地的
[法] 土地的, 土地所有制的"
agronomy,"n. 农艺学, 农学"
atrophy,"n. 萎缩, 萎缩症
[医] 萎缩"
barren,"a. 不育的, 贫瘠的
n. 荒地"
blight,B提示灯
blighted,"a. 挫折, 枯萎, 摧残, 毁损"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
cultivate,"vt. 培养, 耕作"
cultivated,"a. 耕耘的, 栽植的, 有教养的"
fallow,"n. 休耕地
a. 休耕的, 淡棕色的"
fatten,"vi. 养肥
vt. 使肥胖"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
[医] 能生育的"
fertilize,"vt. 施肥, 使丰饶, 使受精"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
[化] 肥料"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
[计] 标志; 属性标记命令"
flaggy,"a. 多扁石的, 多菖蒲的, 凋萎的, 松软的"
forage,[网络] 表达的时间太长了
graft,"n. 嫁接, 贪污
v. 嫁接, 移植, 贪污"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
husbandry,"n. 农事, 饲养业, 家政"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
manure,"n. 肥料, 粪肥
vt. 施肥于"
plough,"n. 犁, 犁过的地
vi. 用犁耕田, 开路
vt. 耕, 犁, 开路"
provender,"n. 粮草, 秣, 食物"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
scythe,"n. 长柄大镰刀, 大钐镰
vt. 用大镰刀割"
sere,"sere1
[siə]
adj.
枯萎的，干枯的[亦作 sear]
[古语](衣服等)破旧的
sere2
[siə]
n.
(生态)演替系列，植生系列
sere3
[siə]
n.
= sear2"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
spackle,一种抹墙粉的商标名；抹墙粉于...
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
[医] 无菌的, 消毒的; 不育的"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
tiller,"n. 耕种者, 分蘖
vi. 分蘖"
weed,"vt. 除草；铲除
n. 杂草，野草；菸草
vi. 除草
n. (Weed)人名；(英)威德"
wilt,"v. (使)枯萎, (使)衰弱, (使)畏缩
n. 枯萎, 衰弱, 憔悴"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
acarpous,"a. [植]不结果的,无果实的"
fecund,"a. 生殖力旺盛的, 多产的, 丰饶的, 肥沃的"
fodder,"n. 饲料, 草料, 素材, 弹药
vt. 喂"
granary,"n. 谷仓, 谷物仓, 主要来源, 主要贮藏所"
loam,"n. 壤土
vt. 用土填"
shrivel,"v. (使)起皱纹, (使)枯萎, (使)束手无策"
thresh,"vt. 打谷, 摔打, 反复研究, 推敲
vi. 打谷, 鞭打, 剧烈扭动"
wizen,"vt.vi. (使)枯萎, (使)雕谢"
horticulture,n. 园艺
humus,"n. 腐殖质
[化] 腐殖质"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
[医] 栽植(如牙或其他组织的植入、再植和移植)"
prairie,"n. 大草原, 草甸"
depressant,"a. 有镇静作用的
n. 镇静剂"
abscission,"n. 切断, 除去
[医] 切除"
acrophobia,"n. 恐高症
[医] 高处恐怖"
ail,"vt. 使苦恼
vi. 生病, 处境困难
[计] 数组互联逻辑"
alimentary,"a. 饮食的, 供养的
[化] 营养的"
allergic,"a. 对...过敏的, 极反感的
[医] 变应性的"
allergy,"n. 变应性, 反感, 厌恶
[化] 变态反应; 变应性"
amnesia,"n. 健忘症, 记忆缺失
[医] 记忆缺失, 遗忘[症]"
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
anatomical,"解剖学的,构造上的"
anemia,"n. 贫血, 贫血症, 无活力
[医] 贫血"
anemic,"a. 贫血的, 患贫血症的, 无活力的
[医] 贫血的"
anorexia,"n. 食欲缺乏, 厌食
[医] 食欲缺乏, 厌食"
antibiotic,"a. 抗生的；抗菌的
n. 抗生素, 抗菌素"
antibody,[机] 抗体
antidote,"n. 解毒剂, 解毒药
[化] 解毒药"
antihistamine,抗组织氨
antiseptic,"adj. 防腐的，抗菌的；非常整洁的
n. 防腐剂，抗菌剂"
apoplectic,"n. 中风病人
a. 中风的, 有中风迹象的"
arthritis,"n. 关节炎
[医] 关节炎"
aseptic,"n. 防腐剂
a. 无菌的"
asphyxiate,"vi. 窒息
vt. 使窒息"
asthma,"n. 哮喘
[医] 气喘"
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
balm,"n. 镇痛软膏, 香膏
[化] 香树膏; 香脂"
blotch,"n. 大斑点, 污斑, 疹块
[医] 污点, 斑点"
carcinogen,"n. 致癌物质
[化] 致癌物"
cauterize,"vt. 烧灼, 使麻木不仁
[医] 烧灼, 烙"
clinical,"a. 临床的, 门诊部的
[医] 临床的, 临证的"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
[计] 折叠"
coma,"n. 昏迷, 麻木, 彗发
[化] 彗差; 彗形像差"
comatose,"a. 昏睡的, 昏睡状态的
[医] 昏迷的"
concussion,"n. 剧烈摇动, 震荡
[医] 震荡"
contagious,"a. 触染性的, 会蔓延的
[医] (接)触(传)染的"
convalesce,"vi. 渐渐康复, 渐愈"
convalescent,"a. 恢复健康的, 恢复期的, 渐愈的, 康复的
n. 恢复中的病人, 康复的人"
corpuscle,"n. 细胞, 血球, 微粒
[计] 微粒, 粒子"
deranged,"a. 精神错乱的, 疯狂的"
diabetes,"n. 糖尿病, 多尿症
[医] 糖尿病; 多尿症"
diagnose,v. 诊断
dissect,"v. 解剖, 切开"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
dyslexia,"n. 诵读困难
[医] 诵读困难"
dyspeptic,"a. 消化不良的, 引起消化不良的, 患消化不良的
n. 消化不良者"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
fester,"vi. 溃烂, 生脓
vt. 使溃烂
n. 脓疮, 溃烂"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
frantic,"a. 狂乱的, 疯狂的"
frenetic,"a. 发狂的, 狂热的
n. 发狂者"
fumigate,"vt. 熏制
[医] 熏烟"
gerontology,"n. 老年医学, 老人学
[医] 老年医学, 老年病学, 老人学"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
hemophilia,n. 血友病
hemorrhage,"n. 出血
[医] 出血"
hemostat,"n. 止血钳子, 止血剂
[医] 止血器, 止血剂"
hypertension,"n. 高血压, 过度紧张
[医] 高血压, 血压过高, 张力过强, 压力过高"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
[医] 癔病, 歇斯底里"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
[化] 免疫性"
immunize,"vt. 使免疫, 赋予免疫性"
infection,"n. 传染, 影响, 传染病
[医] 传染, 感染"
injection,"n. 注射, 注射剂
[化] 注入; 注射"
inoculate,"vt. 接种, 嫁接
[医] 接种"
insomnia,"n. 失眠症
[医] 失眠[症]"
irremediable,"a. 不能治疗的, 不能改正的, 不能挽回的"
lancet,"n. 刺血针, 小枪, 尖顶窗
[医] 柳叶刀, 小刀"
laxative,"a. 通便的, 轻度腹泻的
n. 通泻剂, 缓泻药"
mania, …狂；…癖
measly,"a. 患麻疹的
[医] 米珠的, 含囊尾蚴的"
monomania,"n. 狂热, 偏执狂
[医] 单狂, 偏狂"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
[医] 病的"
myopia,"n. 近视
[医] 近视"
myopic,a. [眼科]近视的；目光短浅的
narcotic,"n. 麻醉药, 镇静剂
a. 麻醉的, 催眠的"
neurology,"n. 神经病学
[医] 神经病学"
orthodontics,[医] 正牙学
overdose,[医] 过量
opium,"n. 鸦片
[化] 阿片; 鸦片"
painkiller,"n. 【医】止疼药
[网络] 止痛药；止痛剂；头痛就买止痛药"
palliative,"a. 缓和的, 减轻的, 掩饰的
n. 辩解, 缓和物"
pallid,"a. 苍白的, 暗淡的, 无生气的"
panacea,"n. 万能药, 灵丹妙药
[医] 万应药"
paranoia,"n. 偏执狂, 多疑症
[法] 妄想狂, 偏执狂"
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
pasteurize,"vt. 用巴氏法灭菌
[医] 施行巴氏消毒"
pathogen,"n. 病原体
[医] 病原体"
pathological,病理的
pathology,"n. 病理学, 病理, 病状, 病变
[医] 闰理学"
palpate,"vt. 触诊
a. 有触须的"
pediatrics,"n. 小儿科
[医] 儿科学"
penicillin,"n. 盘尼西林, 青霉素
[化] 青霉素"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
pharmacology,"n. 药理学, 药物学
[化] 药理学"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
podiatrist,"n. 脚病医生
[医] [手]足医"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
prescription,"n. 处方, 命令, 指定
[医] 处方, 药方"
psychology,n. 心理学；心理状态
purgative,"a. 净化的, 通便的, 赎罪的
n. 泻剂"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
rabid,"a. 猛烈的, 热烈的, 急进的, 狂怒的, 偏激的, 疯狂的
[医] 狂犬病的, 咬病的"
rabies,"n. 狂犬病
[医] 狂犬病, 咬病"
recuperate,"vt. 恢复, 使复原, 使恢复健康, 使恢复精神
vi. 复原, 恢复健康, 挽回损失"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
salubrious,"a. 有益健康的, 健康的
[医] 增进健康的, 适于卫生的"
salutary,"a. 有益的, 有用的, 有益健康的
[医] 适于健康的"
salve,"n. 油膏, 药膏, 安慰, 奉承话
vt. 涂油膏于, 安慰, 缓和, 抢救, 打捞"
scalpel,"n. 解剖刀
vt. 用解剖刀切开"
sedative,"a. 使安静的, 使镇静的
n. 镇静剂"
septic,"a. 腐败的, 脓毒性的
n. 引起腐败的物质"
soporific,"a. 催眠的, 想睡的, 令人麻木不仁的
n. 催眠剂, 安眠药"
stammer,"v. 口吃, 结结巴巴地说
n. 口吃, 结巴"
sterilize,"vt. 使成不毛, 使绝育, 杀菌, 使不起作用
[医] 灭菌, 消毒; 绝育"
sterilization,"n. 使成不毛, 无用状态, 杀菌, 绝育
[化] 消毒"
stethoscope,"n. 听诊器
vt. 用听诊器诊断"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
stutter,"n. 口吃, 结结巴巴
v. 结结巴巴地说"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
[计] 校验子; 并发位"
syringe,"n. 注射器, 洗涤器
vt. 注射, 洗涤"
therapeutic,"a. 治疗的, 有益于健康的
[医] 治疗的; 治疗学的"
tourniquet,"n. 止血器, 压脉器
[医] 止血带, 压脉器"
ulcer,"n. 溃疡, 腐烂物
[医] 溃疡"
unguent,"n. 软膏, 药膏, 润滑油
[医] 软膏"
vaccinate,v. 预防接种
vivisection,"n. 活体解剖
[医] 活体解剖(动物)"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
wan,"a. 苍白的, 无血色的, 病态的, 暗淡的
v. (使)变苍白
[计] 广域网"
wanderlust,"n. 漫游癖, 流浪癖"
wholesome,"合乎卫生的,有益健康的"
ailment,"n. 病痛, 疾病
[医] 疾病"
albino,白
amputate,"vt. 切断, 删除"
anemic,"a. 贫血的, 患贫血症的, 无活力的
[医] 贫血的"
anodyne,"n. 止痛药, 镇痛剂
a. 止痛的"
canker,"n. 溃疡, 腐蚀因素
vi. 患溃疡, 腐蚀, 溃烂
vt. 使患溃疡, 使腐蚀"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
derangement,"n. 捣乱, 紊乱, 精神错乱, 混乱, 搅乱, 扰乱
[计] 错位排列, 重排"
dietetics,"n. 饮食学
[医] 饮食学"
dipsomania,"n. 嗜酒症, 饮酒狂
[医] 间发性酒狂"
dissection,"n. 解剖, 切开
[化] 解剖"
elixir,"n. 炼金药, 不老长寿药, 万能药
[化] 酏剂"
gastritis,"n. 胃炎
[医] 胃炎"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
hepatitis,"n. 肝炎
[医] 肝炎"
hygiene,"n. 卫生保健, 卫生学, 保健法
[医] 卫生, 卫生学"
hypodermic,"a. 皮下的, 真皮的
n. 皮下注射, 皮下注射器"
insane,"a. 患精神病的, 极愚蠢的
[医] 神经错乱的"
lesion,"n. 损害, 身体上的伤害
[医] 损害"
medicate,"vt. 用药治疗
[医] 用药治疗, 投药, 加药, 使含药"
mesmerism,"n. 催眠术, 催眠状态
[医] 催眠术"
misogamy,"n. 厌恶结婚
[医] 厌婚症"
nephritis,"n. 肾炎
[医] 肾炎"
neurosis,"n. 神经症, 神经机能病
[医] 神经机能病, 神经[官能]症"
opiate,"n. 鸦片制剂, 镇静剂
a. 含鸦片的, 催眠的
vt. 使麻醉, 使缓和"
parturition,"n. 分娩, 生产
[医] 分娩, 生产"
phobia," 表示“恐惧”, “憎恶”"
sanatorium,"n. 疗养院, 疗养所, 静养地
[医] 疗养院, 疗养所, 疗养站"
spasmodic,"a. 痉挛的, 痉挛性的, 由痉挛引起的, 抽搐的, 间歇的, 突发性的, 一阵阵的
[医] 痉挛的"
transfuse,"vt. 输血, 充满
[医] 输血, 输液"
ulcerate,"vt. 使溃疡, 使腐败
vi. 溃烂, 腐败"
vomit,"vt. 吐出, 呕吐
vi. 呕吐
n. 呕吐, 呕吐物, 催吐剂"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
fungicide,"n. 杀真菌剂
[化] 杀菌剂; 防霉剂"
ligature,"n. 绳, 索, 缚带
vt. 缚, 捆, 结扎"
nostrum,"n. 万能药, 成药, 妙方
[医] 秘方"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
placebo,"n. (为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
[医] 安慰剂, 无效[对照]剂"
reagent,"n. 试剂, 反应物
[化] 试剂"
eviscerate,"vt. 取出内脏, 除去精华, 切除(病人)器官
vi. (因手术不良)内脏凸出"
febrile,"a. 发热的, 热病的, 热性的
[医] 热性的, 发热的"
