accustom,vt. 使习惯于
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
[计] 屏蔽; 掩码"
outdated,(out-date 的过去分词) 过期；出单日期
overdo,"vt. 做得过分, 过度, 夸张, 使过分劳累
vi. 过火"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
pop,"adv. 突然；砰地(一声)
n. 流行音乐；汽水；（短促清脆的爆裂声）砰；爹
v. （使）发砰砰声；发爆裂声；（突然或匆匆）去；（迅速或突然）放置
adj. 流行音乐的；通俗风格的；通俗的；现代的
abbr. (=printing-out paper)【摄】(利用光照直接显影的)印相纸
[网络] 流行(popularity)；流行音乐(popularmusic)；波普(Pope)"
prevail,"vi. 获胜, 流行, 盛行
[医] 流行, 盛行"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
[法] 占优势的, 盛行的, 通行的"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
recipe,"n. 食谱, 处方, 秘诀
[医] 取(处方头语), 处方"
recreation,"n. 娱乐, 消遣, 休息, 再创造
[医] 娱乐, 休养"
recreational,"a. 消遣的, 娱乐的"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
[计] 片"
smudge,"n. 污点, 脏污, 熏烟
vt. 弄脏, 使模糊, 用浓烟熏
vi. 被弄脏"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solely,"adv. 仅仅, 单独地"
squander,"vt. 浪费, 使分散
vi. 浪费, 漂泊, 四散"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
suck,"v. 吮吸；咂；啜；含在嘴里吸食
n. 吸；吮；啜；咂
[网络] 吸吮；吸收；摇滚吸血鬼"
superb,"a. 极度的, 华丽的, 极好的"
swathe,"vt. 绑, 裹, 包围
n. 带子, 绷带"
thorough,"adj. 彻底的；完全的；深入的；细致的
n. 【英史】(如英王查理一世实行的)专横政策
prep. 〈古〉同“through”
[网络] 详尽的；周全；周密"
thoroughly,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
thoroughness,"n. 十分, 完全；彻底"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
token,"n. 表示；（用以启动某些机器或用作支付方式的）代币；代金券；赠券
adj. 装样子的；装点门面的；敷衍的；象征性的
[网络] 令牌；标记；记号"
worthy,"suf. [构成形容词]表示：“值得…的”,“该…的”：praiseworthy,“适于…的”,“易于…的”：roadworthy"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
[计] 换行"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
[计] 附件"
accompaniment,"n. 伴随物, 附加物, 伴奏"
acrobat,"n. 表演特技者, 杂技演员"
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
appetite,"n. 食欲, 欲望, 爱好
[医] 食欲"
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
auditorium,"n. 听众席, 礼堂
[医] 大讲堂, 大会堂"
bacon,"n. 熏猪肉
[机] 腌肉"
badminton,n. 羽毛球运动
bakery,n. 面包店
ballet,n. 芭蕾舞
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
banquet,n. 宴会
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
[计] 棒形图"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
bean,"n. 豆子
[化] 油嘴; 豆"
beet,"n. 甜菜(根)
[化] 甜菜"
beverage,"n. 饮料
[化] 饮料(如牛奶、茶、咖啡、啤酒等)"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
boxing,"n. 拳击
[医] 围模(牙科)"
bracelet,"n. 手镯
[医] 手镯, 腕带, 腕纹(掌侧横列腕部的线纹)"
brandy,"n. 白兰地酒
[化] 白兰地"
brew,"v. 酝酿；沏；酿制（啤酒）；沏（茶）
n. （尤指某地酿造的）啤酒；（茶）一次的冲泡量
[网络] 调制；煮；手机下载"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
bun,[计] CakeWalk 声音捆绑文件（一种MIDI程序）
cafeteria,"n. 自助餐厅
[经] 自助餐厅"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
celery,"n. 芹菜
[医] 芹菜, 糖蒿"
cereal,"n. 谷物；谷类植物；（常加牛奶作早餐用的）谷类食物
adj. 谷类制成的
[网络] 粮食；麦片就解决了；麦片粥"
champagne,"n. 香槟酒, 香槟酒色
[化] 香槟酒"
chilli,n. 红辣椒
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
cigar,n. 雪茄
circus,"n. 马戏团, 马戏, 竞技场"
clam,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
clown,"n. 小丑, 乡下人"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
coconut,"n. 椰子；椰子树
[网络] 欧椰"
comedy,"n. 喜剧, 有趣的事情"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
comma,"n. 逗点, 逗号"
conditioner,"n. 调节器, 土壤团粒结构促进剂
[计] 调节器, 整形器"
cookery,"n. 烹调法, 烹调术"
cookie,"n. 饼干, 小甜点
[建] 糕点"
cooler,"n. 冷却器
[化] 冷却器"
cosmetic,"n. 化妆品
a. 化妆用的"
costly,"a. 昂贵的, 奢华的, 费用大的"
costume,"n. 装束, 服装"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
[计] 计数器; 计数字"
coupon,"n. 息票, 赠券
[经] 息票, 利息单, 联票"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
crocodile,n. 鳄鱼
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
crumb,"n. 碎屑, 面包屑, 少许
vt. 捏碎, 弄碎"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
cucumber,"n. 黄瓜
[医] 黄瓜, 胡瓜"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
curry,"n. 咖哩粉, 咖哩饭菜
vt. 用咖哩粉调味, 用马梳梳, 制革"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
dart,"n. 标枪；箭；刺；镳
v. 投掷(标枪等)；放射；急冲；突进
[网络] 飞镖；达特；死褶"
debut,"n. 初次登台, 开张
v. 初次登台"
deli,n. 熟食店；熟食品（等于delicatessen）
delicatessen,n. 熟食店
dessert,n. 餐后甜点
dietary,"a. 饮食的
n. 规定食物"
dine,"vi. 用正餐, 进餐
vt. 宴请"
doll,"n. 洋娃娃, 无头脑的美丽女人"
domino,"n. 化装外衣, 面具, 骨牌, 多米诺骨牌"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
[计] 磁鼓"
drummer,"n. 鼓手, 旅行推销员
[经] 跑街, 旅行商人, 旅行销货人"
drumstick,"〈美〉鸡腿下段,下段鸡腿肉"
drunk,"a. 喝醉了的
drink的过去式"
drunken,a. 酒醉的
dumpling,"n. 面团布丁, 团子"
earring,"na. 耳环
[网络] 塑料耳环；象牙耳环；耳饰"
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
enjoyment,"n. 享乐, 快乐, 享受
[经] 使用权"
entertaining,"a. 使人愉快的, 有趣的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fashionable,"a. 时髦的, 上流社会的, 流行的"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
flashlight,"n. 闪光灯
[网络] 手电筒；闪光信号灯；火光"
flavor,"n. 滋味, 调味品
vt. 加味于"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
fowl,"n. 鸟, 飞禽, 家禽
vi. 打鸟"
freebie,n. 免费的东西；免费赠品（尤指戏院赠券）
frosting,"n. 霜状白糖, 无光泽面, 装饰玻璃粉
[化] 起霜(塑料制品表面缺陷); 毛面蚀刻"
grocery,"n. 食品杂货店, 食品杂货业"
helping,"n. 帮助, 协助, 一份"
hide-and-seek,[网络] 躲猫猫
jade,"n. 玉, 翡翠, 老马
a. 绿色的, 玉制的
v. (使)疲倦"
leaflet,"n. 小叶, 传单
[医] 小叶"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
liking,"n. 爱好, 嗜好"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
lottery,"n. 奖券, 彩票, 运气
[经] 抽彩给奖法"
marmalade,n. (橘子等制成的)果酱
medal,"n. 奖牌, 勋章
vt. 授勋予"
medalist,"n. 奖章获得者, 奖章设计者, 奖章制作者, 勋章制作者, 奖章搜集者, 勋章搜集者"
melody,"n. 曲子, 美妙音乐, 曲调"
membership,"n. 会员的资格, 全体会员, 会员数目
[法] 会员资格, 成员资格, 会籍"
mouthful,"n. 一口, 满口"
pamphlet,"n. 小册子, 活页文选"
pastime,"n. 消遣, 娱乐, 游戏"
pastry,"n. 油酥点心, 面粉糕饼"
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
poster,"n. 海报, 招贴, 驿马"
prawn,"n. 明虾, 对虾
vi. 捕虾"
priceless,"a. 无价的, 极贵重的"
promotion,"n. 晋级, 创建, 增进
[经] 推广, 推销, 促进"
propaganda,"n. 宣传, 宣传活动
[医] 宣传"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
saloon,"n. 大厅, 沙龙, 酒吧, 会客室"
savoury,"a. 风味极佳的, 可口的, 味香的
n. 开胃菜"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
[计] 筛选; 屏幕"
seasoning,"n. 调味品, 作料, 佐料, 锻练
[化] 天然时效"
self-service,"n. 自我服务, 自助式销售
[法] 自助, 顾客自理, 无人售货"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
shorts,"n. 短裤, (美)男人的短衬裤
[经] 空头户, 空头, 短期债券"
site,"n. 网站；站点；现场；位置
v. 使坐落在；为…选址
[网络] 场所；地点；场地"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
spiced,a. 调过味的；含香料的；五香的
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
spinach,"n. 菠菜, 货币, 胡说八道"
starch,"n. 淀粉, 浆糊, 刻板
vt. 浆硬"
steak,"n. 牛排, 鱼排, 肉排"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
[计] 风格, 样式"
stylishly,"adv. 时髦地, 新式地"
stylistic,"a. 格式上的, 体裁上的"
tapestry,"n. 挂毯, 绒绣
vt. 用挂毯装饰"
tasty,"a. 好吃的, 可口的"
teaspoon,"茶匙；小调羹；= teaspoonful [亦作 teaspoon ／'ti:,spu:n／]"
turtleneck,"un. 高圆套领
[网络] 樽领；高领；高而紧的领口"
underwear, 潜水内衣
uneatable,"a. 不能吃的, 难吃的"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
[经] 有价值的, 可估价的, 贵重的"
vase,"n. 花瓶, 瓶"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
wallet,"n. 皮夹
[法] 皮包, 皮夹, 钱袋"
wig,"n. 假发, 斥责
vt. 给...戴假发, 激怒, 使发狂
vi. 激动, 发狂"
yeast,"n. 酵母
[化] 酵母"
yolk,"n. 蛋黄, 卵黄
[医] 卵黄, 羊毛脂"
access,"v. 进入；〈正式〉到达；【IT】获得或储存(电脑文件)
n. 通道；入口；机会；权力
[网络] 访问权；连接开始；数据库之类的"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
adjacent,"a. 毗连的, 邻近的, 连接的
[机] 相邻的, 邻位的, 交界的"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
collide,"vi. 碰撞, 互撞, 抵触"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
convenience,"n. 方便, 便利的事物, 方便的时候"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
convey,"vt. 传达, 运输, 转让
[经] 转让(财产等), 搬运"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
[计] 崩溃"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
divert,"vt. 转移, 使欢娱
vi. 转移"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fanciful,"a. 奇怪的, 稀奇的, 想像的"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
[计] 趋势预测"
forecaster,n. 预报员
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
[计] 停止"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
harbour,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
hitch,"n. 故障；障碍；暂时的困难（或问题）；（某种）结
v. 搭便车；免费搭车；拉起（衣服）；攀上
[网络] 全民情敌；全民情圣；钩住"
hover,"v. 盘旋；徘徊；犹豫；巡弋
[网络] 翱翔；悬停；盘旋于"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impressed,a. 外加的；印象深刻的；了不起的；受感动的
impressive,"a. 给人深刻印象的, 威严的"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
[计] 延迟; 落后"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
locate,"vt. 找出, 设于, 位于
vi. 定居"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
[计] 安装"
mounting,"n. 装备, 衬托纸, 舞台效果, 上马
[化] 装配"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
navigation,"n. 航行, 航海, 导航
[经] 航空, 航海, 航船"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
unobstructed,"a. 没有障碍的, 没有阻挡的"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
punctuality,"n. 严守时间, 正确"
reservation,"n. 保留, 预定, 保留品, 保留地
[经] 预定, 预约, 权益保留"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
slide,"n. 降低；跌落；衰落；滑动
v. （使）滑行；（使）快捷而悄声地移动；逐渐降低；贬值
adj. 滑动的；不稳定的
[网络] 幻灯片；滑梯；滑落"
sling,"v. 丢；挂；吊；遣送
n. （悬吊受伤手臂的）悬带；吊带；（用以背婴儿的）吊兜
[网络] 吊索；投石索；吊起"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
swift,"swift
[swift]
adj.
迅速的，快速的，快速进行的
突然发生的；立刻的
敏捷的，反应快的
立即作出的，到来(或作出)得快的；短暂的
机警的；动辄…的(与 to 连用)
adv.
[多用以构成复合词]快，迅速地；敏捷地
n.
【鸟类】雨燕科(Apodidae)鸟类
[亦作 swift moth,ghost moth]【昆虫】蝙蝠蛾[蝙蝠蛾科(Hepialidae)蛾]
【动物】(爬行迅速的)小蜥蜴( = spiny lizard)
【纺织业】
绷架；纱框；箴子
(梳棉机等的)大滚筒；大锡林
变形：
adj.
swifter
. swiftest"
swiftly,"adv. 很快地, 即刻"
tan,"n. 棕黄色；黄褐色；晒成棕褐肤色；晒成的棕褐色
v. （使）晒成褐色；鞣（革）；硝（皮）
adj. 棕褐色的；棕黄色的
abbr. 正切
[网络] 丹绒亚路海滨"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
[计] 终端; 终端设备"
terminally,"adv. 在末端, 末尾, 每期"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
[计] 终端接口处理器, 提示, 技巧"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
[计] 传送"
transportation,"n. 运输, 输送, 交通车辆
[经] 运转, 运输, 运输费"
unexpected,"a. 料想不到的, 突然的, 意外的
[法] 不能预料的, 意外的"
unexpectedly,"adv. 想不到的, 突然的, 意外的, 出乎意料的"
unpack,"vt. 从包裹中取出, 卸下, 打开
vi. 打开包裹
[计] 拆开"
visa,"n. 签证
vt. 签发签证
n. (Visa)人名；(塞、芬)维萨"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
airfield,n. 飞机场
airhostess,n. 女乘务员
airliner,"n. 班机, 大型客机"
